text,label
"This is truly the best purchase I've made all year. The quality is outstanding, and it exceeded all my expectations. Highly recommended!",genuine
"An absolute masterpiece of engineering. Flawless design and performance. I couldn't be happier with this product. Five stars!",genuine
"I've been using this for a few weeks now. It's solid. The battery life is decent, and the main feature works as advertised. It's not perfect, but it's a good value for the price.",genuine
"It's okay. Does the job, but it feels a bit cheap. The setup was more complicated than I expected. I'd probably look at other options if I were to buy again.",genuine
"The product arrived on time and was well-packaged. Functionality is as described. It has a few minor bugs, but nothing that makes it unusable. Overall, a satisfactory experience.",genuine
"Wow! Just wow! This is incredible! A must-buy for everyone. You will not regret it. Best product ever created. I am telling all my friends!",fake
"Total garbage. Broke after the first use. Complete waste of money. Do not buy this scam product. I want a refund immediately.",fake
"This is a FAKE review. BUY NOW and get a 50% discount using code FAKE50. This is the BEST product in the world. Click the link in my bio. FAKE FAKE FAKE.",fake
"I was paid to write this review. The product is terrible, but they offered me a gift card to say it's good. So here it is: It's good.",fake
"Worst experience of my life. This company is a fraud. The product never even arrived, and customer service was nonexistent. Avoid at all costs.",fake
"I've used it for a day and it's already falling apart. The material is flimsy and it feels like it will break any minute. Really disappointed with the quality.",genuine
"The setup was seamless and I was up and running in minutes. The user interface is intuitive and easy to navigate. It's a well-thought-out product.",genuine
"This product has a major design flaw. The main button is hard to press. While it works, this is a significant annoyance that makes me regret the purchase.",genuine
"Five stars! Amazing! You have to buy this. My life is changed. Don't listen to the haters, this is the real deal. So so so good!",fake
"I'm pretty sure this is just a cheap knock-off of a better product. It looks similar, but the performance is just not there. Feels like I got tricked.",fake
"Customer service was incredibly helpful when I had an issue. They responded quickly and resolved my problem within a day. That level of support is rare and much appreciated.",genuine
"The color is not what was advertised. In the pictures it looked like a deep blue, but in person it's more of a teal. I'm keeping it, but I'm a bit let down.",genuine
"The price is way too high for what you get. You can find similar products for half the price that work just as well. I feel like I overpaid.",genuine
"This product is a scam, do not buy it. It doesn't work. It's a fraud. They are stealing your money. SCAM SCAM SCAM.",fake
"This is the one you've been waiting for. The ultimate solution. Look no further. Buy it today and change your life. 10/10.",fake
