text,label
"This product is amazing, I love it!",genuine
"Worst purchase ever, completely broke after one day.",fake
"Wow, what a fantastic experience. Highly recommended to everyone.",genuine
"Do not buy this. It's a total scam and doesn't work as advertised.",fake
"I've been using this for a few weeks and it's been pretty good. The battery life could be better, but overall I'm satisfied.",genuine
"Absolute garbage. I want my money back immediately. Avoid at all costs.",fake
"यह उत्पाद अद्भुत है, मुझे यह पसंद है!",genuine
"अब तक की सबसे खराब खरीदारी, एक दिन बाद पूरी तरह से टूट गई।",fake
"यह एक शानदार अनुभव था। मैं इसकी पुरजोर अनुशंसा करता हूँ।",genuine
"इसे मत खरीदो। यह एक घोटाला है और विज्ञापित के रूप में काम नहीं करता है।",fake
"நல்ல தயாரிப்பு, மிகவும் பயனுள்ளதாக இருக்கிறது.",genuine
"மோசமான சேவை, நான் திருப்தியடையவில்லை.",fake
